,Year,Qtr1,Qtr2,Qtr3,Qtr4,race,sex,age_range
1,2010,428,421.0,416.0,445.0,white,women,16-24
2,2011,435,419.0,426.0,426.0,white,women,16-24
3,2012,420,421.0,418.0,433.0,white,women,16-24
4,2013,435,426.0,417.0,459.0,white,women,16-24
5,2014,449,455.0,454.0,465.0,white,women,16-24
6,2015,476,457.0,455.0,457.0,white,women,16-24
7,2016,488,483.0,489.0,509.0,white,women,16-24
8,2017,493,511.0,499.0,515.0,white,women,16-24
9,2018,562,513.0,522.0,553.0,white,women,16-24
10,2019,556,536.0,541.0,578.0,white,women,16-24
11,2020,592,,,,white,women,16-24
1,2010,633,617.0,587.0,622.0,black,women,55+
2,2011,662,615.0,587.0,620.0,black,women,55+
3,2012,648,727.0,613.0,624.0,black,women,55+
4,2013,680,738.0,635.0,708.0,black,women,55+
5,2014,673,698.0,745.0,739.0,black,women,55+
6,2015,720,680.0,688.0,680.0,black,women,55+
7,2016,694,739.0,666.0,751.0,black,women,55+
8,2017,708,741.0,724.0,693.0,black,women,55+
9,2018,701,640.0,668.0,791.0,black,women,55+
10,2019,747,728.0,723.0,843.0,black,women,55+
11,2020,769,,,,black,women,55+
1,2010,403,409.0,392.0,406.0,black,men,16-24
2,2011,420,398.0,418.0,413.0,black,men,16-24
3,2012,401,392.0,408.0,372.0,black,men,16-24
4,2013,417,383.0,378.0,400.0,black,men,16-24
5,2014,386,403.0,421.0,427.0,black,men,16-24
6,2015,398,417.0,465.0,500.0,black,men,16-24
7,2016,426,462.0,448.0,404.0,black,men,16-24
8,2017,416,505.0,478.0,470.0,black,men,16-24
9,2018,466,438.0,512.0,502.0,black,men,16-24
10,2019,491,513.0,577.0,598.0,black,men,16-24
11,2020,457,,,,black,men,16-24
1,2010,607,600.0,623.0,626.0,black,women,25-54
2,2011,604,609.0,615.0,621.0,black,women,25-54
3,2012,621,652.0,609.0,605.0,black,women,25-54
4,2013,618,623.0,616.0,635.0,black,women,25-54
5,2014,615,653.0,612.0,608.0,black,women,25-54
6,2015,633,647.0,642.0,641.0,black,women,25-54
7,2016,655,675.0,686.0,658.0,black,women,25-54
8,2017,661,700.0,674.0,665.0,black,women,25-54
9,2018,698,681.0,657.0,681.0,black,women,25-54
10,2019,736,718.0,702.0,765.0,black,women,25-54
11,2020,767,,,,black,women,25-54
1,2010,736,678.0,738.0,771.0,black,men,55+
2,2011,718,751.0,754.0,734.0,black,men,55+
3,2012,722,792.0,779.0,753.0,black,men,55+
4,2013,734,702.0,819.0,728.0,black,men,55+
5,2014,789,751.0,835.0,833.0,black,men,55+
6,2015,764,756.0,795.0,726.0,black,men,55+
7,2016,801,819.0,844.0,729.0,black,men,55+
8,2017,768,769.0,884.0,768.0,black,men,55+
9,2018,794,841.0,771.0,907.0,black,men,55+
10,2019,849,870.0,798.0,780.0,black,men,55+
11,2020,836,,,,black,men,55+
1,2010,790,768.0,832.0,859.0,asian,men,55+
2,2011,798,903.0,980.0,910.0,asian,men,55+
3,2012,987,980.0,981.0,880.0,asian,men,55+
4,2013,958,1095.0,852.0,914.0,asian,men,55+
5,2014,942,1011.0,968.0,935.0,asian,men,55+
6,2015,1034,1034.0,1030.0,1200.0,asian,men,55+
7,2016,1188,943.0,1101.0,984.0,asian,men,55+
8,2017,1112,1022.0,1125.0,1135.0,asian,men,55+
9,2018,1154,1014.0,1073.0,1150.0,asian,men,55+
10,2019,1239,1118.0,1237.0,1213.0,asian,men,55+
11,2020,1142,,,,asian,men,55+
1,2010,893,869.0,871.0,879.0,white,men,25-54
2,2011,876,887.0,888.0,893.0,white,men,25-54
3,2012,903,925.0,892.0,916.0,white,men,25-54
4,2013,919,907.0,905.0,909.0,white,men,25-54
5,2014,929,919.0,918.0,925.0,white,men,25-54
6,2015,945,943.0,941.0,950.0,white,men,25-54
7,2016,955,971.0,964.0,974.0,white,men,25-54
8,2017,1009,1005.0,990.0,1000.0,white,men,25-54
9,2018,1030,1008.0,1037.0,1043.0,white,men,25-54
10,2019,1068,1063.0,1070.0,1097.0,white,men,25-54
11,2020,1128,,,,white,men,25-54
1,2010,521,533.0,531.0,531.0,hispanic,women,25-54
2,2011,542,551.0,547.0,543.0,hispanic,women,25-54
3,2012,571,564.0,537.0,546.0,hispanic,women,25-54
4,2013,573,579.0,584.0,575.0,hispanic,women,25-54
5,2014,591,562.0,587.0,588.0,hispanic,women,25-54
6,2015,582,594.0,600.0,604.0,hispanic,women,25-54
7,2016,600,602.0,611.0,617.0,hispanic,women,25-54
8,2017,620,644.0,637.0,632.0,hispanic,women,25-54
9,2018,635,647.0,658.0,651.0,hispanic,women,25-54
10,2019,663,654.0,694.0,685.0,hispanic,women,25-54
11,2020,701,,,,hispanic,women,25-54
1,2010,712,729.0,747.0,739.0,white,women,55+
2,2011,753,762.0,761.0,749.0,white,women,55+
3,2012,782,758.0,774.0,768.0,white,women,55+
4,2013,776,783.0,785.0,788.0,white,women,55+
5,2014,772,772.0,793.0,792.0,white,women,55+
6,2015,788,811.0,810.0,789.0,white,women,55+
7,2016,835,791.0,820.0,821.0,white,women,55+
8,2017,855,875.0,889.0,840.0,white,women,55+
9,2018,838,919.0,861.0,894.0,white,women,55+
10,2019,888,894.0,877.0,908.0,white,women,55+
11,2020,926,,,,white,women,55+
1,2010,387,403.0,391.0,397.0,hispanic,men,16-24
2,2011,411,416.0,408.0,415.0,hispanic,men,16-24
3,2012,416,422.0,415.0,439.0,hispanic,men,16-24
4,2013,453,422.0,421.0,431.0,hispanic,men,16-24
5,2014,417,424.0,462.0,475.0,hispanic,men,16-24
6,2015,448,459.0,483.0,506.0,hispanic,men,16-24
7,2016,494,481.0,496.0,520.0,hispanic,men,16-24
8,2017,498,502.0,532.0,546.0,hispanic,men,16-24
9,2018,515,516.0,519.0,599.0,hispanic,men,16-24
10,2019,575,568.0,578.0,596.0,hispanic,men,16-24
11,2020,564,,,,hispanic,men,16-24
1,2010,412,623.0,539.0,551.0,asian,women,16-24
2,2011,453,473.0,542.0,493.0,asian,women,16-24
3,2012,468,417.0,513.0,475.0,asian,women,16-24
4,2013,472,487.0,574.0,430.0,asian,women,16-24
5,2014,419,468.0,418.0,522.0,asian,women,16-24
6,2015,650,511.0,537.0,602.0,asian,women,16-24
7,2016,560,515.0,554.0,597.0,asian,women,16-24
8,2017,630,629.0,528.0,603.0,asian,women,16-24
9,2018,680,688.0,502.0,623.0,asian,women,16-24
10,2019,612,757.0,652.0,737.0,asian,women,16-24
11,2020,738,,,,asian,women,16-24
1,2010,496,423.0,474.0,551.0,asian,men,16-24
2,2011,420,564.0,465.0,509.0,asian,men,16-24
3,2012,530,514.0,472.0,547.0,asian,men,16-24
4,2013,541,518.0,413.0,567.0,asian,men,16-24
5,2014,498,492.0,672.0,691.0,asian,men,16-24
6,2015,493,602.0,508.0,612.0,asian,men,16-24
7,2016,630,520.0,591.0,621.0,asian,men,16-24
8,2017,569,701.0,600.0,732.0,asian,men,16-24
9,2018,722,546.0,691.0,787.0,asian,men,16-24
10,2019,815,677.0,710.0,706.0,asian,men,16-24
11,2020,849,,,,asian,men,16-24
1,2010,380,396.0,424.0,411.0,black,women,16-24
2,2011,390,412.0,384.0,368.0,black,women,16-24
3,2012,392,369.0,390.0,371.0,black,women,16-24
4,2013,389,400.0,388.0,384.0,black,women,16-24
5,2014,381,406.0,429.0,475.0,black,women,16-24
6,2015,375,399.0,395.0,427.0,black,women,16-24
7,2016,415,408.0,400.0,474.0,black,women,16-24
8,2017,452,413.0,501.0,489.0,black,women,16-24
9,2018,490,483.0,485.0,462.0,black,women,16-24
10,2019,457,460.0,512.0,511.0,black,women,16-24
11,2020,501,,,,black,women,16-24
1,2010,717,711.0,710.0,720.0,white,women,25-54
2,2011,725,728.0,730.0,737.0,white,women,25-54
3,2012,736,731.0,737.0,736.0,white,women,25-54
4,2013,744,743.0,746.0,754.0,white,women,25-54
5,2014,771,752.0,760.0,768.0,white,women,25-54
6,2015,773,768.0,772.0,780.0,white,women,25-54
7,2016,791,799.0,799.0,823.0,white,women,25-54
8,2017,820,835.0,821.0,824.0,white,women,25-54
9,2018,848,839.0,869.0,850.0,white,women,25-54
10,2019,857,868.0,901.0,896.0,white,women,25-54
11,2020,906,,,,white,women,25-54
1,2010,651,655.0,656.0,661.0,black,men,25-54
2,2011,648,689.0,685.0,690.0,black,men,25-54
3,2012,714,693.0,655.0,703.0,black,men,25-54
4,2013,690,695.0,704.0,669.0,black,men,25-54
5,2014,731,683.0,683.0,696.0,black,men,25-54
6,2015,721,726.0,660.0,703.0,black,men,25-54
7,2016,755,718.0,751.0,743.0,black,men,25-54
8,2017,753,715.0,777.0,701.0,black,men,25-54
9,2018,743,753.0,766.0,793.0,black,men,25-54
10,2019,799,823.0,824.0,815.0,black,men,25-54
11,2020,891,,,,black,men,25-54
1,2010,990,968.0,997.0,1007.0,white,men,55+
2,2011,1009,996.0,985.0,1040.0,white,men,55+
3,2012,1012,1020.0,990.0,1073.0,white,men,55+
4,2013,1000,1061.0,1012.0,1094.0,white,men,55+
5,2014,1006,1017.0,1071.0,1058.0,white,men,55+
6,2015,1060,1080.0,1106.0,1144.0,white,men,55+
7,2016,1135,1114.0,1134.0,1153.0,white,men,55+
8,2017,1098,1104.0,1161.0,1150.0,white,men,55+
9,2018,1146,1165.0,1166.0,1218.0,white,men,55+
10,2019,1204,1193.0,1183.0,1220.0,white,men,55+
11,2020,1266,,,,white,men,55+
1,2010,664,592.0,621.0,609.0,hispanic,men,55+
2,2011,743,578.0,612.0,645.0,hispanic,men,55+
3,2012,619,624.0,665.0,690.0,hispanic,men,55+
4,2013,640,651.0,676.0,698.0,hispanic,men,55+
5,2014,682,637.0,668.0,697.0,hispanic,men,55+
6,2015,679,711.0,733.0,730.0,hispanic,men,55+
