RegionID,SizeRank,RegionName,RegionType,StateName,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020
102001,0,United States,Country,,71446,71447,71454,71503,71554,71645,71728,71854,71956,72083,72209,72353,72424,72519,72644,72814,73004,73152,73333,73468,73655,73812,74022,74276,74698,75108,75502,75788,76094,76397,76716,77102,77537,78021,78441,78796,79072,79432,79808,80240,80656,81157,81662,82085,82460,82853,83354,83862,84421,84972,85579,86199,86814,87431,88059,88756,89483,90190,90902,91678,92457,93226,93993,94797,95625,96413,97205,97992,98795,99620,100415,101183,101927,102679,103419,104186,104959,105795,106667,107579,108492,109421,110391,111398,112394,113393,114405,115396,116364,117271,118189,119149,120184,121270,122396,123494,124692,125938,127278,128608,130078,131656,133289,134892,136476,138097,139694,141402,143096,144849,146552,148330,150102,151938,153848,155792,157750,159564,161255,162772,164193,165463,166701,167895,168984,169861,170472,170886,171098,171189,171280,171292,171278,171217,171055,170794,170295,169658,168910,168173,167330,166432,165353,164253,163016,161550,159934,158092,156356,154643,152958,151147,149338,147437,145457,143353,141291,139473,137764,136173,134646,133254,132045,130993,130105,129456,129037,128742,128410,127999,127585,127289,126917,126345,125517,124600,123604,122562,121470,120495,119576,118730,117849,116937,116002,115244,114650,114194,113814,113471,113213,112915,112685,112499,112495,112630,112920,113288,113710,114177,114719,115364,116065,116879,117797,118790,119852,120955,122127,123290,124512,125745,126924,127969,128947,129834,130712,131526,132230,132780,133274,133787,134316,134761,135236,135794,136412,137078,137668,138313,139010,139768,140522,141215,141869,142581,143310,144039,144740,145467,146274,147054,147764,148481,149222,150049,150864,151684,152495,153347,154235,155112,155922,156708,157542,158467,159415,160356,161319,162289,163290,164292,165321,166376,167406,168507,169599,170615,171606,172524,173450,174292,175084,175817,176506,177117,177639,178003,178333,178729,179295,179927,180547,181070,181601,182145,182673,183220,183831,184509,185184,185803,186273
394913,1,"New York, NY",Msa,NY,141156,140959,140795,140551,140316,140110,139897,139788,139792,139881,139986,140155,140507,140984,141481,141825,142278,142790,143379,143965,144472,144952,145481,146063,146566,146955,147354,147787,148250,148791,149402,150065,150815,151709,152651,153553,154293,155131,156070,157289,158565,159855,161258,162509,163783,164845,166061,167325,168837,170555,172380,174205,176004,177824,179757,181719,183689,185657,187655,189800,191876,194053,196061,198119,200098,202132,204036,206005,208063,210485,212803,215010,217200,219168,221206,223303,225549,227769,229892,232507,235388,238287,241065,243898,246843,249966,253241,256246,259230,262302,265640,268505,270947,273219,275678,278219,280823,283577,286482,289481,292712,296211,300176,304478,308926,313308,317731,322170,326752,331090,335517,340199,344793,349252,353473,358062,362764,367717,372238,376493,380442,384094,386750,388817,390706,392682,393876,393735,392949,391486,390466,389616,388726,387981,387782,387844,387660,386605,385439,384390,383328,382385,381225,380371,380046,379383,378000,376429,374232,372237,369773,367996,365886,363199,359977,356221,350350,344696,339901,335729,332641,328914,326575,323454,321550,320828,320929,320582,321814,323008,323468,323695,323741,325175,325422,325340,324657,323501,321610,319875,318095,317017,316946,316138,314878,312807,311508,310977,310383,309322,308543,308141,307477,306238,303947,302766,301859,301790,301669,301782,302114,302959,303895,304886,306115,307292,309273,310775,312563,314060,315894,317482,318667,319911,321557,323159,324804,326890,329406,331858,333671,334772,335374,336504,338153,339730,340658,341964,344400,346787,348436,349308,350528,352174,353930,355516,357027,358663,360725,362369,361642,360547,359400,360345,361200,362511,363756,364840,365452,366133,366630,367537,369246,371195,373291,374707,376753,378886,381474,383777,386394,388630,390960,392946,395367,397835,400253,402067,403336,403985,404096,404318,404983,406034,407095,407452,407447,407019,407071,407150,407594,408095,408854,409424,409500,409332,409004,409178,409191,409330,408959,408789,408325
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,111822,111897,111856,111803,111695,111631,111583,111342,111010,110659,110483,110323,109937,109376,108957,108789,108723,108612,108702,109112,109694,110285,110743,111427,112473,113744,114986,116054,117211,118367,119253,120377,121639,123034,124283,125194,126307,127556,128823,129994,131074,132453,133884,134735,135433,136362,137704,139247,140518,141743,143076,144582,146199,147740,149340,151225,153106,154758,156297,157930,159600,161333,163051,165020,166889,168763,170425,172132,173860,175923,177913,179961,182029,184316,186698,189203,191654,194481,197727,201206,204696,208234,212144,216090,219623,222849,226103,229298,232655,235616,239355,243625,248398,252709,257661,262705,268877,275055,281702,288858,297204,305780,313303,319461,325634,331767,336961,342031,346674,352258,357704,362968,367149,371294,376588,382438,388647,394676,399561,404164,407901,411263,414377,416911,419893,421878,422649,423428,422351,422077,421457,421680,421129,420160,418886,418268,416709,415062,411859,407564,402355,396965,393094,388701,384015,377566,370013,361433,352535,346109,340501,335164,330082,324144,317534,308723,303303,299737,297141,292989,289276,284672,280903,278716,278303,278491,278693,280309,278940,276356,274280,274462,275605,274058,271930,268982,265968,262971,259091,256328,254411,253413,251493,249049,245334,243967,242798,241537,239482,237186,236685,235524,234628,233381,232667,232450,233252,234310,235992,237603,239787,243126,246234,250327,254212,259872,266101,273140,279431,285685,291360,298318,304593,309511,313401,316217,319299,320403,321333,321492,322263,322765,324047,323714,323840,324082,326188,328225,330933,333736,336725,338568,340700,342729,344480,346525,348644,351352,353228,356363,358187,360738,362169,365139,367444,369771,372050,375030,378352,381348,383561,384870,387436,389467,392021,393527,396280,399179,402154,404762,407311,409957,413918,417904,421134,424155,427504,431154,434139,436918,439286,440689,441141,441678,441891,441221,440153,437943,435940,434797,436126,438087,439987,441012,442629,444001,444895,446340,448009,450577,452598,453809,453018
394463,3,"Chicago, IL",Msa,IL,100693,100488,100225,100026,99682,99612,99357,99964,100662,101886,102758,103372,103618,103706,104006,104037,104353,104307,104327,102793,101017,98384,96564,95373,95083,95258,95469,95619,95719,95720,96076,97078,98512,100390,102022,103356,104068,104590,105019,105630,106218,107157,108108,109026,109710,110433,111253,112086,113119,114155,115284,116390,117536,118633,119633,120656,121717,122852,124137,125404,126604,127585,128689,129781,131054,132278,133449,134726,136054,137468,138658,139744,140776,141936,143162,144179,145173,146053,147196,148280,149371,150318,151128,152065,152947,153975,154832,155804,156429,157032,157526,158161,158847,159534,160315,161065,161989,162770,163533,164379,165364,166521,167518,168506,169279,170159,171130,172138,172999,173857,174754,175750,176847,178008,179124,180158,181441,182671,183772,184709,185528,186468,187148,187976,188488,188929,189156,189486,189613,189668,189572,189801,190131,190821,190509,190299,189167,188957,188085,187829,187032,186881,186658,186402,186287,184404,184664,182493,182975,180729,180768,178967,178802,177151,176242,173809,171402,169541,167411,166668,164964,164307,163675,163313,161984,160887,159464,159539,158882,159140,157593,157296,155406,154872,151701,149871,147420,146081,143762,141586,139564,137784,136364,134208,132732,130511,129638,128116,127099,124879,123658,121957,120777,118665,117824,116979,116632,115863,115129,114471,114070,114306,114835,115336,116236,117401,118255,119287,120247,121869,123456,125388,126943,128947,130019,131360,132014,133089,133709,134013,134581,135391,136137,136487,137061,137389,138052,138629,139184,139420,139908,140930,141621,141827,141934,142271,142641,142960,143282,143818,144457,145649,146589,147301,147914,148651,149749,150621,151361,152056,153014,153815,154702,155298,156446,157399,158221,158811,159328,160167,161057,161823,162384,163209,164480,165463,165670,165664,166036,166649,167097,167335,167705,168139,168680,169037,168749,168423,168371,168805,169229,169512,169822,170042,170131,170199,170190,170167,170346,170680,171020,171088,170954
394514,4,"Dallas-Fort Worth, TX",Msa,TX,72320,71927,71880,72243,72596,72857,72166,72372,72353,73211,73018,72922,72729,73335,73589,73325,72798,72579,73309,73178,73876,73307,73634,74150,74528,74795,75000,74936,75549,75745,76761,77060,76629,76434,77216,77545,77981,77678,78295,78818,78765,79094,78781,78853,78503,78040,77615,76978,77273,77925,78259,78201,78149,78255,78875,79568,81078,82456,83058,84144,84878,84779,84461,84715,85852,85732,85654,85229,85176,84769,84865,84838,84361,84490,84064,84005,83508,84226,84418,84618,84328,84523,84529,84627,84863,85703,86654,86545,85692,84999,84848,84741,84589,84870,85601,85334,83996,82182,81259,81823,82086,82289,81502,81719,81360,80955,79908,79687,80620,80855,81289,80286,80640,80129,80750,80571,80934,80733,80801,80683,80747,81560,81771,81770,81120,81024,80654,80406,80421,80887,80774,80856,80527,80353,79766,80220,80980,81584,81830,81750,81662,81301,82191,82363,83056,82426,82765,82338,81856,81385,81174,81215,80783,80190,78597,77759,76600,76737,76431,76521,76386,76012,75704,75141,75051,74904,75243,75277,75153,74708,74149,73770,73416,73302,72782,72284,71529,71127,70644,70276,70020,69556,69151,68479,67828,67174,66628,66676,66860,67094,67041,66857,66739,66837,66978,67050,67194,67500,68191,68409,68473,68272,68432,68820,69217,69558,69944,70591,71360,72004,72832,73608,74514,75226,75802,76189,76627,77264,77931,78372,78479,78806,78407,78666,78727,79454,80003,80642,81372,81931,82558,83338,84379,85353,86603,87434,88354,89076,89919,90903,91527,92368,93188,94315,95448,96458,97700,98805,100322,101703,103314,104716,105807,106726,107601,108892,110253,111581,112773,113349,113889,114877,116469,118274,120073,121939,123658,124797,125827,126791,127407,128427,128084,128861,129252,131156,132371,133585,134149,134498,134554,134902,135533,136286,137952,138454,138840,137942,137709,137458,137785,138435,139288
394974,5,"Philadelphia, PA",Msa,PA,83644,83457,83360,83192,83172,83184,83197,83152,83096,83049,83089,83195,83347,83553,83702,83793,83810,83885,83981,84114,84257,84435,84534,84538,84486,84507,84620,84798,84831,84757,84744,84882,85139,85343,85515,85687,85898,86143,86441,86729,87074,87467,87794,88099,88298,88623,89055,89680,90287,90909,91358,91823,92295,92799,93319,93702,94177,94658,95132,95518,95978,96540,97211,97885,98485,99067,99663,100389,101106,101778,102507,103210,103983,104713,105624,106574,107564,108573,109633,110789,112067,113419,114787,116250,117685,119168,120535,121899,123356,124834,126431,128040,129755,131532,133276,134838,136290,137878,139665,141601,143478,145377,147238,149155,150834,152355,153924,155780,158008,159921,161584,163108,164968,167052,169164,171183,173250,175343,177297,179130,180576,181920,183170,184362,185307,186142,186846,187642,188227,188685,188899,189012,189180,189297,189622,189822,190315,190466,190673,190303,189947,189648,189588,189580,189409,189327,188618,187994,186964,186121,185181,184346,183809,182922,181985,180602,179174,177938,177367,176925,176453,175797,175089,174660,174154,174203,174139,174259,174237,174142,173704,173258,172669,172231,171624,170647,169251,167574,166117,164871,164048,163274,162387,161028,159581,158262,157119,156387,155855,155518,154888,154282,153410,152600,152153,152170,152268,151987,151723,151625,151780,151686,151726,151716,151963,151852,151888,152082,152862,153835,154698,155214,155446,155764,156154,156473,156655,157156,157238,156862,156177,155837,155911,155818,155836,155952,156278,156755,157162,157408,157910,158630,159150,159049,158675,158633,158763,158929,158923,158627,158456,158476,158381,158298,158330,159138,159867,160533,160973,161297,161533,161963,162557,163067,163619,164230,164930,165329,165819,166278,166621,167016,167495,168310,168883,169589,170350,171040,171505,171784,172176,172586,173171,173837,174621,175097,175429,175718,176163,176421,176746,176952,177336,177709,178051,178334,178522,178764,179211,179647,179943,180412,180929
394692,6,"Houston, TX",Msa,TX,75686,75859,75872,76016,76031,75986,75894,76174,76471,76949,77299,77555,77468,77038,76764,76313,76096,76068,76329,75827,75257,74575,74394,74426,74970,75757,76734,77889,78957,79822,80458,81578,82711,83593,83912,84192,84418,85102,85221,85654,85850,86102,85687,85283,85093,85246,85359,85410,85390,85065,85419,84832,84568,83713,84401,84391,84609,84168,85128,85317,85511,85180,84753,84639,84036,84339,83869,83822,83632,84330,83453,83181,82235,82712,82491,83455,84280,84737,85428,85589,85840,85190,85938,85862,86561,86055,86706,85548,84333,83554,82813,83178,82600,82176,81234,81331,81401,81329,80676,81251,82696,83963,84423,84175,84244,85347,85447,85693,85447,86406,87244,87531,87020,86192,86014,86340,86623,86471,86547,87187,87878,88121,87729,87416,87683,88087,88683,88436,88596,88068,88468,88039,88314,87425,87256,87168,87085,86411,85461,84927,85062,85128,85343,84569,83528,82676,82320,81892,81259,81010,80704,80500,79827,79498,78523,77963,77363,77514,77366,77231,76987,76968,77118,77060,76697,76156,75832,75828,75868,75769,75583,75320,75001,74354,73438,72600,72010,71706,71527,71343,70994,70385,69630,69194,69072,69207,69401,69597,69750,69889,69876,69973,69959,70203,70511,70608,70497,70402,70584,70840,71132,71444,71742,71964,72357,72814,73619,74601,75697,76515,77296,78053,78904,79583,80338,80975,81765,82590,83065,83555,83950,84812,85617,86601,87468,88266,89125,90203,91246,91974,92849,93590,94431,94929,95301,95829,96524,97529,97945,98111,98447,99134,99894,100442,101087,101880,102878,103304,103484,103639,104491,105467,105992,106435,106766,107110,107247,107491,107750,108058,108168,108300,108604,109146,109678,109952,110267,111045,111882,112446,112866,113233,114032,114374,114866,115222,116019,116687,116998,117130,117264,117637,117935,118396,118645,119220,119443,119620,119540,119688,120107,120423,120735
395209,7,"Washington, DC",Msa,DC,108577,108426,108286,108015,107787,107535,107328,107044,106939,106731,106678,106601,106512,106311,106089,105969,105897,105775,105662,105475,105313,105192,105150,105234,105415,105660,105753,105805,105665,105712,105588,106087,106111,106499,106262,106012,105638,105738,106157,106503,107101,107740,108744,109023,109654,109979,111039,111946,113102,113781,114603,115402,116158,116785,117328,118428,119608,120872,121794,123140,124505,126066,127535,129228,131041,132851,134744,136521,138375,140280,142429,144488,146581,148571,150683,152827,155096,157560,160066,162744,165294,167880,170564,173233,175763,178465,180910,183459,185775,188294,190603,192891,195259,198065,200935,204028,207289,210697,214212,217783,221767,226101,231114,236209,241691,246871,251812,256383,260631,264880,269639,275067,280721,285875,290547,294864,299040,302689,306113,308808,311251,313052,314442,314392,313510,312357,311055,309569,307014,304510,302169,300849,299892,299575,298921,298919,298683,298299,297576,296591,295810,294636,293219,291389,290358,288631,286972,283850,280704,277231,274479,272521,271316,270441,269445,267681,264234,260947,258219,257135,256385,256162,255707,254955,254097,253489,253275,253544,254497,255511,256190,256835,257618,258140,258130,258105,257600,256648,255366,255044,255277,255714,255117,254050,252819,251970,251126,250178,249693,249587,249864,249374,248841,248359,249218,250035,250821,251597,253116,254645,255952,257444,258982,260737,262134,263475,264731,266366,268641,270804,272260,273882,275463,277079,278294,279419,280809,282010,282889,283273,282950,282471,282507,282527,282601,282121,281948,281683,281113,281036,281116,281463,281641,281965,282237,282348,282450,282865,282969,283076,283322,282890,282671,282517,283191,283550,283605,283730,283918,284250,285119,286284,287578,288871,289331,289598,289126,289247,289735,290381,291164,291723,292221,292288,292136,292594,293448,294242,295346,296455,297835,298455,298758,299062,299404,300075,300834,301418,302602,303705,304977,305717,306418,307564,308902,310323,311660,312909,314182,315331,316005,316842,317549
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,58050,58114,58191,58326,58445,58595,58744,58872,58929,58965,59016,59068,58995,58975,58969,59119,59246,59365,59466,59579,59687,59793,59874,60019,60416,60735,60977,60961,61004,60899,60833,60809,61099,61426,61733,61911,61937,61974,62032,62200,62395,62815,63226,63623,63653,63737,63876,64068,64302,64587,64998,65440,65801,66135,66423,66702,67106,67485,67938,68437,69013,69655,70369,71109,71933,72721,73630,74596,75661,76767,77848,78879,79847,80741,81519,82339,83197,84196,85258,86360,87380,88403,89456,90780,92110,93534,94933,96404,97781,99015,100142,101281,102600,104008,105533,106803,108277,109728,111355,112878,114596,116496,118532,120752,123004,125433,127879,130681,133421,136376,139348,142342,145582,148985,152770,156468,160196,163569,166538,169147,171914,174344,177125,180097,182874,185017,186361,187370,188071,188314,188882,188996,189021,188642,187765,186363,184543,182544,180539,178477,176208,174297,171613,169189,165583,162184,158184,154369,150528,146929,143484,139863,135994,131801,127794,123840,120335,116900,113710,110629,107675,105061,102272,99738,97501,95749,94280,92825,91662,90633,89825,88990,88125,86988,86061,85107,84295,83266,82305,81523,80730,80050,79385,78900,78433,78131,77919,77872,77820,78079,78475,78825,79148,79374,79760,80223,80976,81969,82899,83927,85048,86156,87048,88057,89371,91048,92707,94521,96183,97719,99352,100963,102566,103921,105676,107377,109061,110163,111356,112060,112939,113537,114385,115075,115796,116696,117126,117672,117881,118551,118997,119712,120298,121044,121562,122153,122821,123438,124304,124960,125842,126576,127359,128043,128714,129635,130562,131348,131948,132517,133227,133991,134721,135242,135608,136137,136631,137008,137287,137881,138456,139158,139371,139852,140150,140830,141594,142170,142795,143079,143601,143989,144445,144637,145267,145795,146363,146167,146153,146207,146407,146650,146826,146987,147148,147469,147669,147827,148062,148764,149337,149947,150458
394347,9,"Atlanta, GA",Msa,GA,74728,74832,75104,75541,76209,76908,77748,78495,79220,79755,80304,80869,81587,82528,83408,84292,84759,85133,85386,85761,86268,87119,88051,88972,89745,90421,90998,91739,92713,93925,94948,96124,97275,98489,99704,101000,102322,103698,105349,106963,108620,110137,112081,113989,115772,117369,118760,120193,121374,122659,123869,125161,126341,127654,128866,130029,131042,131932,132909,133872,135095,136148,137079,137880,138697,139371,139818,140257,140810,141467,142024,142420,142612,142712,142738,142904,142931,143056,143076,143072,143079,143183,143548,143826,143994,144032,144282,144411,144524,144416,144550,144687,144970,145115,145180,145394,145805,146391,146709,147010,147470,147893,148146,148404,148640,148906,149005,149101,149210,149460,149916,150550,151066,151722,152026,152293,152373,152586,152931,153195,153529,153712,153567,153045,152294,151807,151904,152195,152536,152802,153056,153312,153655,154100,154676,155095,155379,155594,155615,155349,154825,154247,153847,153611,152956,151527,150190,149200,148985,148349,147405,146473,145673,144878,143217,141173,138905,137241,135442,133524,131790,130009,128886,127574,126832,125953,125480,124789,124109,123542,123131,122947,121977,120886,119198,117641,115387,113044,110911,109845,109089,108072,106446,104769,103113,101799,100711,99846,99569,99687,99385,98263,96816,95940,95625,95608,95834,96367,96802,97402,97502,97660,98367,99418,101163,102626,104409,106050,107671,109441,111291,113192,115118,116819,118503,120296,121963,123633,124938,125924,127086,127749,129333,130428,131990,133040,134226,135482,136608,137581,138492,139996,141575,143505,144397,145777,146941,148430,149739,150420,151767,152917,154846,156390,157916,158979,159729,160352,160658,162250,163999,166567,167890,169880,171507,173087,174417,175957,178294,180532,183544,185686,187346,188905,191164,193508,195177,196491,198221,200498,202460,204120,205420,207137,208606,209495,209919,209759,209521,209938,211014,211673,211965,212112,212125,211831,211808,211959,212214,212542,213176,213349,212709
