RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
102001,United States,0,1307,1312,1318,1323,1328,1333,1339,1344,1349,1354,1360,1365,1370,1375,1381,1386,1391,1396,1402,1407,1412,1417,1422,1427,1431,1436,1440,1444,1449,1453,1457,1461,1464,1468,1472,1476,1479,1483,1486,1490,1493,1496,1500,1504,1507,1511,1515,1519,1523,1528,1532,1537,1541,1546,1551,1555,1559,1564,1568,1573,1578,1582,1586,1591,1595,1600,1604,1608,1612,1616,1619,1623,1626,1629,1632,1635,1638,1641
394913,"New York, NY",1,2265,2273,2282,2291,2299,2308,2317,2326,2334,2343,2352,2361,2370,2378,2387,2395,2403,2411,2420,2427,2433,2440,2446,2451,2457,2461,2465,2469,2473,2477,2480,2484,2487,2490,2493,2496,2499,2502,2505,2508,2510,2511,2513,2515,2516,2518,2520,2522,2525,2527,2530,2533,2537,2540,2544,2548,2552,2556,2560,2565,2569,2575,2580,2585,2591,2596,2602,2606,2610,2614,2616,2618,2619,2621,2623,2624,2625,2626
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1826,1839,1851,1864,1876,1888,1901,1913,1925,1938,1949,1961,1973,1984,1995,2006,2018,2029,2041,2053,2065,2077,2088,2100,2112,2122,2133,2144,2154,2164,2174,2184,2194,2203,2213,2222,2231,2240,2249,2258,2267,2275,2283,2291,2298,2306,2313,2321,2328,2336,2344,2352,2360,2368,2376,2384,2391,2399,2406,2413,2420,2426,2432,2439,2445,2451,2457,2462,2467,2472,2476,2479,2483,2486,2490,2493,2496,2500
394463,"Chicago, IL",3,1489,1492,1496,1499,1503,1507,1510,1514,1517,1521,1524,1528,1531,1535,1539,1544,1548,1552,1557,1562,1567,1572,1577,1582,1588,1592,1596,1600,1603,1606,1609,1612,1615,1617,1620,1623,1626,1628,1630,1633,1635,1637,1639,1642,1644,1646,1648,1650,1652,1654,1657,1659,1661,1664,1666,1669,1672,1675,1678,1681,1684,1688,1691,1695,1698,1702,1706,1708,1711,1714,1716,1717,1719,1721,1723,1724,1726,1727
394514,"Dallas-Fort Worth, TX",4,1211,1216,1222,1228,1234,1239,1245,1251,1257,1263,1269,1275,1281,1286,1292,1298,1303,1308,1314,1319,1324,1329,1334,1339,1345,1350,1356,1361,1367,1372,1378,1383,1389,1394,1399,1404,1408,1413,1417,1421,1425,1429,1433,1437,1441,1444,1448,1451,1454,1458,1461,1464,1468,1471,1475,1479,1482,1486,1490,1494,1498,1502,1506,1510,1514,1517,1521,1524,1527,1530,1533,1535,1537,1539,1542,1544,1546,1548
394974,"Philadelphia, PA",5,1342,1344,1346,1348,1350,1352,1354,1356,1359,1361,1364,1367,1369,1373,1376,1379,1382,1386,1389,1393,1396,1399,1402,1405,1408,1412,1415,1418,1421,1425,1428,1432,1435,1438,1440,1443,1445,1447,1449,1451,1453,1454,1456,1458,1460,1462,1465,1468,1471,1474,1478,1481,1485,1489,1493,1497,1501,1505,1509,1513,1517,1520,1524,1528,1532,1535,1539,1542,1546,1549,1551,1554,1557,1559,1562,1564,1567,1569
394692,"Houston, TX",6,1279,1289,1300,1311,1321,1331,1341,1351,1361,1370,1377,1384,1391,1395,1399,1404,1407,1411,1414,1417,1419,1421,1422,1423,1425,1425,1425,1425,1425,1424,1424,1423,1422,1421,1420,1419,1418,1418,1417,1416,1418,1419,1421,1424,1427,1430,1434,1438,1442,1446,1450,1453,1455,1457,1459,1459,1460,1461,1462,1463,1464,1465,1466,1467,1468,1470,1471,1472,1474,1475,1476,1476,1477,1478,1478,1479,1480,1480
395209,"Washington, DC",7,1854,1857,1860,1864,1867,1870,1873,1876,1879,1882,1885,1888,1891,1893,1895,1898,1901,1904,1907,1910,1914,1918,1921,1924,1927,1930,1932,1935,1937,1939,1941,1943,1944,1946,1948,1951,1953,1955,1957,1959,1960,1962,1964,1965,1967,1968,1970,1972,1975,1978,1981,1984,1988,1992,1996,2000,2004,2008,2013,2017,2021,2025,2029,2033,2037,2041,2045,2048,2051,2053,2055,2057,2058,2060,2062,2063,2064,2066
394856,"Miami-Fort Lauderdale, FL",8,1577,1584,1592,1599,1606,1614,1621,1629,1636,1644,1652,1659,1667,1674,1681,1689,1696,1703,1711,1718,1725,1732,1738,1745,1751,1755,1760,1765,1768,1772,1775,1777,1780,1782,1784,1786,1788,1790,1792,1795,1797,1799,1801,1804,1807,1809,1813,1816,1820,1824,1828,1832,1836,1841,1845,1849,1853,1856,1860,1863,1867,1870,1873,1876,1879,1883,1886,1890,1894,1897,1901,1904,1907,1911,1914,1918,1921,1924
394347,"Atlanta, GA",9,1140,1143,1147,1150,1154,1157,1161,1165,1168,1172,1176,1181,1185,1190,1195,1200,1206,1211,1216,1221,1227,1232,1238,1244,1250,1256,1262,1268,1275,1281,1288,1293,1299,1305,1310,1315,1320,1325,1330,1335,1340,1346,1351,1357,1362,1368,1374,1380,1386,1393,1399,1405,1413,1420,1427,1434,1441,1448,1455,1461,1468,1473,1479,1484,1489,1493,1498,1502,1506,1509,1513,1516,1520,1523,1527,1530,1534,1537
394404,"Boston, MA",10,2150,2156,2162,2167,2173,2178,2184,2190,2195,2201,2207,2213,2219,2225,2230,2236,2243,2250,2257,2265,2273,2280,2288,2296,2304,2311,2319,2326,2333,2340,2347,2354,2361,2368,2374,2381,2387,2393,2399,2405,2411,2417,2422,2427,2432,2437,2443,2448,2453,2459,2465,2471,2477,2483,2489,2495,2500,2506,2512,2519,2525,2531,2537,2543,2550,2556,2562,2567,2572,2577,2580,2583,2587,2590,2593,2595,2598,2601
395057,"San Francisco, CA",11,2150,2183,2215,2248,2280,2312,2344,2376,2408,2440,2470,2501,2531,2558,2585,2612,2635,2659,2682,2703,2723,2743,2759,2775,2791,2802,2812,2822,2828,2835,2841,2845,2849,2854,2859,2864,2869,2876,2883,2889,2896,2903,2910,2917,2924,2931,2939,2947,2954,2962,2971,2979,2988,2998,3007,3016,3026,3035,3043,3052,3060,3068,3075,3082,3089,3095,3102,3106,3111,3115,3118,3120,3123,3125,3127,3130,3132,3134
394532,"Detroit, MI",12,965,968,970,972,974,977,979,981,983,986,988,990,992,995,997,999,1002,1004,1006,1009,1012,1014,1017,1019,1022,1024,1027,1030,1032,1035,1037,1040,1043,1045,1048,1051,1053,1056,1059,1061,1064,1067,1070,1073,1076,1079,1083,1086,1089,1092,1096,1099,1102,1106,1109,1112,1115,1118,1121,1124,1127,1130,1133,1136,1138,1141,1143,1145,1147,1149,1151,1153,1155,1157,1159,1160,1162,1164
395025,"Riverside, CA",13,1406,1411,1416,1421,1426,1432,1437,1442,1447,1452,1458,1463,1469,1474,1480,1486,1492,1498,1504,1510,1516,1523,1529,1535,1541,1547,1554,1560,1566,1573,1579,1586,1593,1599,1607,1615,1622,1630,1638,1646,1653,1661,1669,1677,1685,1693,1701,1710,1718,1726,1735,1743,1751,1759,1767,1775,1782,1790,1797,1804,1811,1818,1825,1832,1839,1847,1854,1861,1868,1875,1881,1888,1894,1900,1907,1913,1920,1926
394976,"Phoenix, AZ",14,1002,1007,1011,1016,1021,1025,1030,1034,1039,1044,1049,1054,1059,1064,1069,1074,1079,1084,1089,1094,1100,1105,1110,1116,1121,1127,1132,1138,1143,1149,1154,1159,1164,1169,1173,1178,1182,1186,1191,1195,1199,1202,1206,1211,1215,1219,1225,1231,1236,1243,1250,1257,1266,1274,1282,1290,1298,1306,1315,1323,1331,1340,1348,1356,1365,1374,1383,1392,1400,1408,1416,1423,1430,1437,1445,1452,1459,1466
395078,"Seattle, WA",15,1380,1390,1399,1409,1419,1428,1438,1448,1457,1467,1476,1485,1494,1503,1512,1522,1531,1540,1549,1559,1568,1578,1588,1599,1609,1619,1630,1640,1650,1661,1671,1681,1691,1701,1712,1722,1732,1741,1751,1760,1767,1774,1782,1787,1793,1799,1804,1808,1813,1817,1821,1826,1830,1835,1840,1845,1851,1856,1862,1868,1874,1880,1887,1893,1900,1908,1915,1922,1929,1937,1943,1948,1954,1960,1966,1971,1977,1983
394865,"Minneapolis-St Paul, MN",16,1243,1245,1248,1251,1253,1256,1258,1261,1264,1267,1270,1273,1276,1280,1283,1287,1291,1295,1300,1304,1309,1313,1317,1322,1326,1331,1335,1340,1345,1350,1355,1360,1365,1370,1375,1380,1385,1389,1394,1399,1404,1409,1413,1418,1423,1428,1433,1437,1442,1447,1452,1457,1461,1465,1470,1474,1479,1484,1489,1493,1498,1503,1507,1512,1516,1521,1525,1529,1533,1537,1541,1544,1548,1551,1555,1558,1562,1565
395056,"San Diego, CA",17,1692,1703,1714,1725,1735,1746,1757,1768,1779,1789,1799,1809,1819,1829,1839,1848,1858,1867,1876,1886,1895,1904,1914,1924,1934,1943,1953,1963,1972,1982,1991,2000,2008,2017,2026,2035,2044,2053,2061,2070,2078,2086,2095,2103,2111,2119,2127,2135,2144,2152,2161,2170,2178,2186,2194,2201,2208,2215,2220,2226,2231,2236,2241,2246,2252,2257,2263,2268,2273,2278,2282,2287,2291,2295,2299,2303,2307,2311
395121,"St. Louis, MO",18,916,918,919,921,923,924,926,928,929,931,933,935,936,938,940,942,944,945,947,950,952,954,956,958,960,963,965,967,969,971,973,975,976,978,980,981,983,985,986,988,989,991,992,994,995,997,999,1001,1003,1005,1007,1009,1011,1013,1015,1017,1019,1021,1024,1026,1028,1031,1034,1036,1039,1042,1046,1049,1051,1054,1057,1060,1062,1065,1068,1070,1073,1075
395148,"Tampa, FL",19,1149,1153,1158,1162,1166,1171,1175,1179,1184,1188,1193,1197,1201,1206,1211,1216,1221,1226,1231,1236,1242,1247,1252,1258,1263,1269,1274,1280,1285,1290,1295,1300,1304,1309,1314,1318,1323,1327,1332,1336,1341,1346,1351,1357,1362,1368,1374,1380,1385,1391,1397,1402,1407,1413,1418,1423,1428,1432,1437,1442,1447,1451,1456,1461,1466,1471,1476,1481,1486,1491,1495,1500,1504,1509,1513,1518,1522,1527
