	RegionName	2019-01	2019-02	2019-03	2019-04	2019-05	2019-06	2019-07	2019-08	2019-09	2019-10	2019-11	2019-12	2020-01	2020-02	2020-03	2020-04	2020-05	lat	lng
1	New York, NY	2569	2575	2580	2585	2591	2596	2602	2606	2610	2614	2616	2618	2619	2621	2623	2624	2625.0	40.7127753	-74.0059728
2	Los Angeles-Long Beach-Anaheim, CA	2420	2426	2432	2439	2445	2451	2457	2462	2467	2472	2476	2479	2483	2486	2490	2493	2496.0	34.0522166	-118.2436619
3	Chicago, IL	1684	1688	1691	1695	1698	1702	1706	1708	1711	1714	1716	1717	1719	1721	1723	1724	1726.0	41.8781136	-87.6297982
4	Dallas-Fort Worth, TX	1498	1502	1506	1510	1514	1517	1521	1524	1527	1530	1533	1535	1537	1539	1542	1544	1546.0	32.7078751	-96.9209135
5	Philadelphia, PA	1517	1520	1524	1528	1532	1535	1539	1542	1546	1549	1551	1554	1557	1559	1562	1564	1567.0	39.9525839	-75.1652215
6	Houston, TX	1464	1465	1466	1467	1468	1470	1471	1472	1474	1475	1476	1476	1477	1478	1478	1479	1480.0	29.7604267	-95.3698028
7	Washington, DC	2021	2025	2029	2033	2037	2041	2045	2048	2051	2053	2055	2057	2058	2060	2062	2063	2064.0	38.9071923	-77.0368707
8	Miami-Fort Lauderdale, FL	1867	1870	1873	1876	1879	1883	1886	1890	1894	1897	1901	1904	1907	1911	1914	1918	1921.0	26.0742344	-80.1506022
9	Atlanta, GA	1468	1473	1479	1484	1489	1493	1498	1502	1506	1509	1513	1516	1520	1523	1527	1530	1534.0	33.7489954	-84.3879824
10	Boston, MA	2525	2531	2537	2543	2550	2556	2562	2567	2572	2577	2580	2583	2587	2590	2593	2595	2598.0	42.3600825	-71.0588801
11	San Francisco, CA	3060	3068	3075	3082	3089	3095	3102	3106	3111	3115	3118	3120	3123	3125	3127	3130	3132.0	37.7749295	-122.4194155
12	Detroit, MI	1127	1130	1133	1136	1138	1141	1143	1145	1147	1149	1151	1153	1155	1157	1159	1160	1162.0	42.331427	-83.0457538
13	Riverside, CA	1811	1818	1825	1832	1839	1847	1854	1861	1868	1875	1881	1888	1894	1900	1907	1913	1920.0	33.9806005	-117.3754942
14	Phoenix, AZ	1331	1340	1348	1356	1365	1374	1383	1392	1400	1408	1416	1423	1430	1437	1445	1452	1459.0	33.4483771	-112.0740373
15	Seattle, WA	1874	1880	1887	1893	1900	1908	1915	1922	1929	1937	1943	1948	1954	1960	1966	1971	1977.0	47.6062095	-122.3320708
16	Minneapolis-St Paul, MN	1498	1503	1507	1512	1516	1521	1525	1529	1533	1537	1541	1544	1548	1551	1555	1558	1562.0	44.9374831	-93.20099979999999
17	San Diego, CA	2231	2236	2241	2246	2252	2257	2263	2268	2273	2278	2282	2287	2291	2295	2299	2303	2307.0	32.715738	-117.1610838
18	St. Louis, MO	1028	1031	1034	1036	1039	1042	1046	1049	1051	1054	1057	1060	1062	1065	1068	1070	1073.0	38.6270025	-90.19940419999999
19	Tampa, FL	1447	1451	1456	1461	1466	1471	1476	1481	1486	1491	1495	1500	1504	1509	1513	1518	1522.0	27.950575	-82.4571776
20	Baltimore, MD	1591	1594	1596	1599	1601	1603	1606	1607	1609	1610	1611	1611	1612	1612	1613	1614	1614.0	39.2903848	-76.6121893
21	Denver, CO	1699	1704	1708	1712	1716	1720	1724	1727	1730	1734	1736	1738	1740	1743	1745	1747	1749.0	39.7392358	-104.990251
22	Pittsburgh, PA	1098	1100	1103	1106	1109	1112	1115	1119	1121	1124	1127	1130	1132	1135	1138	1140	1143.0	40.44062479999999	-79.9958864
23	Portland, OR	1574	1578	1582	1586	1590	1594	1598	1602	1605	1609	1612	1614	1617	1620	1622	1625	1628.0	45.5051064	-122.6750261
24	Charlotte, NC	1396	1400	1405	1410	1415	1420	1425	1429	1433	1437	1440	1443	1446	1449	1452	1455	1458.0	35.2270869	-80.8431267
25	Sacramento, CA	1704	1711	1718	1725	1731	1738	1744	1750	1755	1761	1766	1771	1776	1781	1787	1792	1797.0	38.5815719	-121.4943996
26	San Antonio, TX	1259	1263	1266	1269	1273	1276	1280	1283	1286	1288	1291	1293	1295	1297	1300	1302	1304.0	29.4241219	-98.49362819999999
27	Orlando, FL	1513	1517	1522	1526	1530	1534	1538	1541	1544	1547	1550	1552	1554	1556	1558	1561	1563.0	28.5383355	-81.3792365
28	Cincinnati, OH	1110	1115	1120	1124	1129	1133	1138	1142	1147	1151	1155	1159	1163	1167	1171	1175	1179.0	39.1031182	-84.5120196
29	Cleveland, OH	1014	1015	1017	1019	1021	1022	1024	1025	1027	1028	1030	1032	1033	1035	1037	1038	1040.0	41.49932	-81.6943605
30	Kansas City, MO	1095	1098	1100	1102	1105	1108	1110	1114	1117	1120	1124	1127	1130	1134	1137	1141	1144.0	39.0997265	-94.5785667
31	Las Vegas, NV	1348	1355	1361	1368	1374	1381	1387	1391	1395	1400	1403	1406	1409	1412	1415	1418	1421.0	36.1699412	-115.1398296
32	Columbus, OH	1210	1213	1217	1220	1223	1227	1230	1233	1236	1240	1243	1246	1248	1251	1254	1257	1260.0	39.9611755	-82.99879419999999
