	RegionName	StateName	1/31/2019	2/28/2019	3/31/2019	4/30/2019	5/31/2019	6/30/2019	7/31/2019	8/31/2019	9/30/2019	10/31/2019	11/30/2019	12/31/2019	1/31/2020	2/29/2020	3/31/2020	4/30/2020	5/31/2020	lat	lng
1	New York, NY	NY	407447	407019	407071	407150	407594	408095	408854	409424	409500	409332	409004	409178	409191	409330	408959	408789	408325	40.7127753	-74.0059728
2	Los Angeles-Long Beach-Anaheim, CA	CA	440153	437943	435940	434797	436126	438087	439987	441012	442629	444001	444895	446340	448009	450577	452598	453809	453018	34.0522166	-118.2436619
3	Chicago, IL	IL	168749	168423	168371	168805	169229	169512	169822	170042	170131	170199	170190	170167	170346	170680	171020	171088	170954	41.8781136	-87.6297982
4	Dallas-Fort Worth, TX	TX	132371	133585	134149	134498	134554	134902	135533	136286	137952	138454	138840	137942	137709	137458	137785	138435	139288	32.7078751	-96.9209135
5	Philadelphia, PA	PA	175429	175718	176163	176421	176746	176952	177336	177709	178051	178334	178522	178764	179211	179647	179943	180412	180929	39.9525839	-75.1652215
6	Houston, TX	TX	116019	116687	116998	117130	117264	117637	117935	118396	118645	119220	119443	119620	119540	119688	120107	120423	120735	29.7604267	-95.3698028
7	Washington, DC	DC	300834	301418	302602	303705	304977	305717	306418	307564	308902	310323	311660	312909	314182	315331	316005	316842	317549	38.9071923	-77.0368707
8	Miami-Fort Lauderdale, FL	FL	146363	146167	146153	146207	146407	146650	146826	146987	147148	147469	147669	147827	148062	148764	149337	149947	150458	26.0742344	-80.1506022
9	Atlanta, GA	GA	209919	209759	209521	209938	211014	211673	211965	212112	212125	211831	211808	211959	212214	212542	213176	213349	212709	33.7489954	-84.3879824
10	Boston, MA	MA	355770	355476	354554	354212	354655	355569	355918	356317	357020	357532	357820	358232	359191	360398	361770	362643	363168	42.3600825	-71.0588801
11	San Francisco, CA	CA	706415	703126	699903	697350	698638	701435	704298	703339	703961	704753	706243	709815	712264	713538	713463	711763	706263	37.7749295	-122.4194155
12	Detroit, MI	MI	158140	158792	158521	158377	158877	159985	160972	161679	161976	162739	163354	164169	164730	165411	166669	167739	168004	42.331427	-83.0457538
13	Riverside, CA	CA	180206	181008	181883	182348	183326	184281	185802	186954	187931	188641	189374	190280	190736	191362	191910	192548	192639	33.9806005	-117.3754942
14	Phoenix, AZ	AZ	152232	153185	153933	154261	155062	156094	157399	158595	159585	160797	162044	163484	164803	166023	167457	169357	170916	33.4483771	-112.0740373
15	Seattle, WA	WA	380406	377265	373918	371198	370521	370664	371813	372612	372955	373173	374473	376214	378479	380395	382607	384659	385747	47.6062095	-122.3320708
16	Minneapolis-St Paul, MN	MN	163425	163987	164405	164722	165351	166158	166934	167538	168290	169050	170003	170842	171510	172245	173055	174055	174838	44.9374831	-93.20099979999999
17	San Diego, CA	CA	336874	335690	335043	336717	338134	339493	340829	341796	342881	343628	344972	346588	348857	350497	352248	353111	354365	32.715738	-117.1610838
18	St. Louis, MO	MO	95567	96257	96745	96884	96938	97021	97212	97301	97439	97649	97935	98193	98318	98373	98532	98850	99254	38.6270025	-90.19940419999999
19	Tampa, FL	FL	106918	107000	106874	106996	107641	108319	109049	109560	110111	110728	111417	112117	112772	113647	114614	115525	116223	27.950575	-82.4571776
20	Baltimore, MD	MD	166839	167276	167222	166953	166644	166637	166712	166787	166725	166772	166748	167042	167119	166936	166822	166787	166751	39.2903848	-76.6121893
21	Denver, CO	CO	249222	249503	249479	249605	249463	249964	250521	251096	251526	251813	252079	252570	253423	254302	255231	255923	256662	39.7392358	-104.990251
